,PnL_Baseline,PnL_VariantA,PnL_VariantB
2024-03-28,581.2824870501793,431.2826301013267,408.76026504225285
2024-03-29,0.0,0.0,0.0
2024-04-01,-1059.3070994585694,1079.332918979364,63.69949951147507
2024-04-02,15.490121237846068,23.23518185676909,98.5806167353874
2024-04-03,-264.8138255331133,-306.82534817792504,-241.73871165503772
2024-04-04,16796.14203792365,12747.61811021501,12772.243078924752
2024-04-05,81.28281111055787,333.6488893016452,31.66445887791093
2024-04-08,3180.411410141918,3009.6244101689567,2582.376088178145
2024-04-09,1478.5386081356028,2309.0821717117806,2214.1945519594024
2024-04-10,0.0,0.0,0.0
2024-04-11,581.5126017150329,962.776459238933,785.9381755691088
2024-04-12,1777.7866096167222,2782.4697810706684,3033.3291261219724
2024-04-15,13717.487979063411,9272.226949509546,9760.479765780463
2024-04-16,2217.8639063927044,2556.3852545208038,2249.387433359223
2024-04-17,8375.362107119025,9588.832622188896,9309.82982874147
2024-04-18,2484.43930886923,4062.8597864182602,4518.881214660077
2024-04-19,1187.598668235748,1021.5964333823002,969.2751786914356
2024-04-22,-222.2139325136453,-123.4988240759124,-121.3409441486445
2024-04-23,-1378.0509633415068,-2043.323564202953,-1516.1520901105835
2024-04-24,4960.955491559608,6950.367964592493,6315.664201476736
2024-04-25,-155.14604230645094,-40.16627789137411,-113.57643522113003
2024-04-26,951.5111154748224,747.2235864518327,693.5849050452222
2024-04-29,-1402.7036223898392,-1171.3927512650366,-756.6406106608775
2024-04-30,0.0,0.0,0.0
2024-05-01,1217.9530640594498,1141.8295850859972,1072.1932148692654
2024-05-02,0.0,0.0,0.0
2024-05-03,4140.570970629126,3539.815555826744,3380.4120664205407
2024-05-06,881.0364683555157,729.0841731058191,633.4493476102158
2024-05-07,2726.38183644902,2305.618366586561,2603.34580011816
2024-05-08,-423.0238211095255,-331.10627729685245,110.79130219533977
2024-05-09,1160.3242405153524,668.2539039025921,628.9991140929658
2024-05-10,6859.134980049777,4849.998002195298,5157.801781219495
2024-05-13,-918.071654040813,-491.1022352114709,-424.76023190267443
2024-05-14,711.9469730666544,355.9734865333272,450.81721942647613
2024-05-15,4681.6481682741005,4638.409713003397,3944.934894740726
2024-05-16,3418.4455116066265,3334.7007823731947,2948.2596222027496
2024-05-17,1086.4288297915687,672.8187416889511,757.5181158890887
2024-05-20,298.50806019357276,298.50806019357276,242.17285386928785
2024-05-21,273.97315080268675,136.98657540134337,169.9537566185381
2024-05-22,-137.42348248995506,-23.1378771955912,145.3232643418865
2024-05-23,14273.44206365407,21951.83025333421,20868.795560208386
2024-05-24,-3044.02655869521,-2818.538769487075,-2455.8355622616746
2024-05-27,0.0,0.0,0.0
2024-05-28,120.36294838033206,710.5002080809726,575.4575877110681
2024-05-29,532.4321525050375,798.6482287575564,1100.279090420959
2024-05-30,2901.814520102387,1450.9072600511936,1770.7061557044676
2024-05-31,3263.8080172255595,2924.9558451451126,2688.72388715926
2024-06-03,7312.177653186891,4356.904431973369,5068.278456243387
2024-06-04,809.8107205266945,1990.4740726964103,1569.0191690730674
2024-06-05,-3191.288926355151,-2067.9945011927025,-2250.760160909787
2024-06-06,628.4153379228258,942.6230068842386,885.4649145560282
2024-06-07,-19.150788267223646,1.340994988405427,-11.616467590152602
2024-06-10,-1230.77632657101,-673.0937699928807,-784.6990467054558
2024-06-11,578.9903693356537,839.6860662560325,641.4259730445918
2024-06-12,4125.518859658902,6846.7695013326875,6248.9567608735215
2024-06-13,3229.0345943360544,2326.059818785425,2709.0870596307504
2024-06-14,920.3373814283597,899.8455981727305,861.7683383213431
2024-06-17,884.6730859798835,1769.655813506937,1657.436164016097
2024-06-18,65.14017102580539,662.0061011752327,702.8047645143074
2024-06-19,0.0,0.0,0.0
2024-06-20,5311.657576753692,6772.380929516607,6948.274572593069
2024-06-21,-814.0003384317374,478.6921158682344,742.3321964203508
2024-06-24,110.77117438895081,-26.136072711923276,39.83652511836925
2024-06-25,1836.7048611379219,1554.3957574911256,1373.8432685131738
2024-06-26,1086.0215114394575,819.1247381018597,876.3572322466201
2024-06-27,2180.3563342720213,3034.5329089184643,3589.6803569202752
2024-06-28,5385.20065656402,7245.556115380943,7106.561865329017
2024-07-01,2252.8762909928123,3565.2775526673754,3061.052671642168
2024-07-02,297.5192706648564,719.2563236695572,1013.3879071893602
2024-07-03,-381.37737096919386,-252.03861563818882,-248.90005219187864
2024-07-04,0.0,0.0,0.0
2024-07-05,1044.5674720823356,1920.8791177887097,1355.1678951554431
2024-07-08,2120.8525880401467,2985.203749878529,2968.9848584915853
2024-07-09,1976.1753126092833,3539.504156710576,4025.9803116083012
2024-07-10,1622.3096715935117,2823.8218887422336,3101.312805260294
2024-07-11,4128.621742064516,5322.359531414843,5928.818047048811
2024-07-12,-664.3608653018482,-284.21884857275666,-357.24055943705986
