Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
QCOM,Asset,0.015,207,0.5024154589371981,7.716081887327987e-05
REAL,Toxic,0.015,336,0.5,-0.0005523845342475037
REMX,Asset,0.015,374,0.37433155080213903,-0.003228493666383633
RENT,Toxic,0.015,230,0.5652173913043478,0.008435039095996992
RIOT,Toxic,0.015,754,0.5755968169761273,0.003126972764462402
RXRX,Asset,0.015,242,0.5247933884297521,0.004103570211707809
SHOP,Asset,0.015,348,0.4942528735632184,0.00016492249769290695
SIVR,Asset,0.015,280,0.48928571428571427,-4.052196222958144e-06
SMR,Asset,0.015,259,0.6061776061776062,0.008991305622123552
SOFI,Asset,0.015,244,0.5163934426229508,0.002571689701068465
SOUN,Asset,0.015,270,0.5740740740740741,0.005580062719608742
SPOT,Asset,0.015,199,0.5778894472361809,0.0036445803618165994
STX,Asset,0.015,195,0.4564102564102564,0.0003612170479371051
TMDX,Asset,0.015,213,0.5211267605633803,-0.0006695694644967773
TSLA,Asset,0.015,441,0.5260770975056689,-0.001228994584573295
TSM,Asset,0.015,339,0.5014749262536873,0.0001771209925126871
TTD,Asset,0.015,307,0.46905537459283386,-0.004400331687338925
U,Asset,0.015,258,0.5310077519379846,0.003628960215467783
UAMY,Asset,0.015,821,0.5736906211936662,0.018505479385231095
UBER,Asset,0.015,193,0.5129533678756477,-0.0015501913590740832
UNH,Asset,0.015,85,0.5294117647058824,-0.0008830492838782743
UPST,Toxic,0.015,302,0.5132450331125827,-0.0021127834416363703
UUUU,Asset,0.015,538,0.5780669144981413,0.006319941153232631
V,Asset,0.015,92,0.44565217391304346,-0.00038596090199261636
VOO,Asset,0.015,45,0.37777777777777777,-0.00024678879372590473
VST,Asset,0.015,138,0.4420289855072464,-0.0028802463836212428
WWR,Asset,0.015,742,0.6765498652291105,0.015805385936301607
ABAT,Asset,0.02,653,0.6355283307810107,0.016903355384508486
ABNB,Asset,0.02,76,0.5,0.003469796898767168
ACHR,Asset,0.02,198,0.5454545454545454,0.0012302646504145903
ADBE,Asset,0.02,87,0.5287356321839081,0.0014195781709615168
AFRM,Toxic,0.02,187,0.5133689839572193,-0.003032699246421299
AMC,Toxic,0.02,254,0.6062992125984252,0.005936579680371284
AMD,Asset,0.02,259,0.47876447876447875,-0.003317540745413983
AMZN,Asset,0.02,97,0.4845360824742268,0.0011379195249036
ANET,Asset,0.02,137,0.4233576642335766,-0.0032454937521932043
APP,Asset,0.02,140,0.4928571428571429,0.002272811471105591
BB,Toxic,0.02,152,0.4868421052631579,-0.0008888034637047567
BBBY,Toxic,0.02,289,0.5501730103806228,0.002819193255455448
BE,Asset,0.02,301,0.5149501661129569,-0.003626508652184742
BIRD,Toxic,0.02,156,0.6538461538461539,0.011143453894824597
BRK-B,Asset,0.02,33,0.42424242424242425,-0.0022650660875674737
BROS,Asset,0.02,73,0.4931506849315068,-0.0021974665201542082
BYND,Toxic,0.02,190,0.5842105263157895,0.007303639986004299
BZFD,Toxic,0.02,126,0.6428571428571429,0.01779602369783888
CCJ,Asset,0.02,148,0.5608108108108109,-9.252850682178226e-05
CEG,Asset,0.02,58,0.5172413793103449,-0.000955900981452618
CELH,Asset,0.02,254,0.5275590551181102,0.0034105758370415423
CIFR,Asset,0.02,318,0.559748427672956,0.004679574778885707
CLOV,Toxic,0.02,165,0.5636363636363636,0.0091367602567886
CRWD,Asset,0.02,151,0.5364238410596026,0.00033678413621023647
CVNA,Toxic,0.02,236,0.5211864406779662,-0.0022285378243300895
DDOG,Asset,0.02,144,0.5347222222222222,0.0021457390608033986
DNA,Toxic,0.02,190,0.6,0.01157871650807417
DOCN,Asset,0.02,120,0.4666666666666667,-0.0015719892479888781
DUOL,Asset,0.02,79,0.5063291139240507,-0.0007143980637266314
EOSE,Asset,0.02,242,0.5661157024793388,-0.0012297643230237052
FI,Asset,0.02,44,0.4318181818181818,-0.0027014824385866863
FUBO,Asset,0.02,282,0.5283687943262412,0.009720303336593626
GLD,Asset,0.02,22,0.2727272727272727,-0.0012252185969636434
GLW,Asset,0.02,76,0.47368421052631576,-0.0009447320359377046
GME,Toxic,0.02,191,0.49214659685863876,-0.006590535788820715
GOOG,Asset,0.02,74,0.527027027027027,0.000472574633281212
GRAB,Asset,0.02,130,0.6384615384615384,0.008285966342263569
