Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group A (Final),OKLO,257,23.1,9.32064175595341,8.944852287592033,-0.3757894683613774,-0.6933625730688224,-0.6012191785889126,0.09214339447990982,1.0043257087639044,1.1346537079227448,0.6963618576277095,0.6821755702601766,0.43216531895777177,0.5148247978436657
Group A (Final),TSLA,640,42.8,14.579766225446543,10.904547431835093,-3.6752187936114495,-0.7363221744219122,-0.5645532490461721,0.17176892537574007,0.8000754285675049,0.9186157837925476,0.5891132792643685,0.5186075253651787,0.5274431057563588,0.642570281124498
Group A (Final),DUOL,347,31.5,0.4968529991807764,0.8908927011771339,0.3940397019963575,-0.6892616764393882,-0.6173256533223609,0.07193602311702729,0.14059045898489966,0.25478110516866753,0.09690361545131498,0.15728291220244084,0.5195632393084623,0.6123748862602366
Group A (Final),CCJ,558,37.3,9.907524599352927,13.284394009233141,3.3768694098802143,-0.4210526665578764,-0.4389815970025324,-0.017928930444656044,1.1788717925891454,1.2893824980993145,0.4963671117995234,0.5660151881627518,0.499330655957162,0.6191432396251674
Group A (Final),ORCL,369,24.7,3.021102106731669,4.091107913017873,1.0700058062862041,-0.4036481650487387,-0.4130577151263322,-0.009409550077593531,0.6554099259951832,0.7647729080243979,0.2645550139826853,0.3158953499790784,0.534805890227577,0.5950468540829986
Group B (Toxic),REAL,586,39.2,-0.2020145741921764,0.37303701281931034,0.5750515870114867,-0.964148973623353,-0.8557232019664293,0.10842577165692369,-0.03873741473157338,0.06419094369714676,-0.03734863865426863,0.0549296798777692,0.48058902275769744,0.6278447121820616
Group A (Final),UBER,503,33.6,1.7570184921728838,2.2088971092167125,0.4518786170438287,-0.6761633588850027,-0.5857406652646006,0.09042269362040212,0.2759150159718386,0.3710397045475944,0.18656362396632753,0.21733304338128878,0.49866131191432395,0.5917001338688086
Group A (Final),GOOG,405,27.1,3.622783528718414,3.6522742828388397,0.029490754120425677,-0.4460184378014926,-0.3952931922035656,0.05072524559792696,0.6606231248341076,0.7489112583063282,0.2946500941140491,0.2960395219730976,0.5508701472556894,0.607764390896921
Group A (Final),AMD,575,38.5,3.5097759583941484,4.276958491195554,0.7671825328014057,-0.6544994295506877,-0.6221001678950703,0.03239926165561746,0.44195101191486674,0.5206197706674858,0.2892566851876295,0.3238776467417359,0.5,0.6117804551539491
Group A (Final),SIVR,525,35.1,2.4633450396042527,2.326790137109805,-0.13655490249444746,-0.3909479516088101,-0.3455858651920171,0.04536208641679296,0.5962502220813295,0.650385931276933,0.23310280296899388,0.2247641847690547,0.5187416331994645,0.5696117804551539
Group A (Final),UNH,331,22.1,0.2695148182387741,0.5034423961412731,0.23392757790249896,-0.6139086683599602,-0.6158997270269576,-0.0019910586669974473,0.06690364786480514,0.1156012209893967,0.04107272936910622,0.07119876045135243,0.5261044176706827,0.5843373493975904
Group A (Final),OSCR,409,34.0,-0.5439655105320169,-0.4201370209811063,0.12382848955091064,-0.9415284180418476,-0.9267821271359056,0.014746290905942039,-0.16132911190085195,-0.11658795694535833,-0.15189594351210534,-0.10805163473624857,0.45545378850957535,0.5870108243130724
Group A (Final),UPST,516,41.2,0.6671191792614521,0.9265132189708398,0.2593940397093877,-0.9689743579962316,-0.9331022694988126,0.035872088497418964,0.111819441992021,0.15120085617744536,0.1083501720157154,0.14108586204933782,0.4784345047923323,0.6325878594249201
Group B (Toxic),UPST,516,41.2,0.6671191792614521,0.9265132189708398,0.2593940397093877,-0.9689743579962316,-0.9331022694988126,0.035872088497418964,0.111819441992021,0.15120085617744536,0.1083501720157154,0.14108586204933782,0.4784345047923323,0.6325878594249201
Group A (Final),ABNB,379,30.2,-0.11547236499620828,-0.018988834281365996,0.09648353071484228,-0.6195812614973956,-0.5940816531396685,0.02549960835772702,-0.03924892030060145,-0.006462260343791934,-0.024317895552257385,-0.003839110308058835,0.5023885350318471,0.5915605095541401
Group A (Final),BND,52,3.5,0.05133572272771225,0.07790318416381092,0.02656746143609867,-0.18582131201078583,-0.1771066841385702,0.008714627872215636,0.045634463156443116,0.07190003130339079,0.008479855816638127,0.012733976133602942,0.5093708165997323,0.5120481927710844
Group B (Toxic),AFRM,498,40.3,-0.28366107705534327,-0.2100678070869315,0.07359326996841176,-0.9471279395827303,-0.9180290921188745,0.029098847463855826,-0.0695337709139611,-0.05121214316933835,-0.06585737717715756,-0.047014237299209505,0.49270664505672607,0.6312803889789304
Group A (Final),NVTS,433,41.6,-0.2828124868450643,-0.2632224681918308,0.01959001865323351,-0.9203869032132197,-0.8956311049712559,0.024755798241963833,-0.08408295772262815,-0.07965847952863041,-0.0773888530713378,-0.07134461204055742,0.4625,0.6096153846153847
Group A (Final),SHOP,561,37.5,3.0398716841335887,2.875526532581595,-0.16434515155199358,-0.8481604137761976,-0.8295411736601532,0.018619240116044322,0.31308784439351606,0.3094652333774567,0.2655487156491023,0.25671415290294863,0.5187416331994645,0.6211512717536813
